semester_week,n,mean_stress,sd_stress,week_start,week_end
1,43,26.88372093023256,25.44481358167082,2025-02-14,2025-02-20
2,108,29.666666666666668,21.37253019015231,2025-02-21,2025-02-27
3,116,29.620689655172413,21.233957697994974,2025-02-28,2025-03-06
4,161,35.099378881987576,25.620354449378745,2025-03-07,2025-03-13
5,187,32.8475935828877,25.469030996034146,2025-03-14,2025-03-20
6,190,40.589473684210525,27.21266229422465,2025-03-21,2025-03-27
7,192,38.625,27.24784443177131,2025-03-28,2025-04-03
8,195,39.94358974358974,26.042033774837765,2025-04-04,2025-04-10
9,199,35.743718592964825,26.523091678061114,2025-04-11,2025-04-17
10,187,31.053475935828878,25.078528840836224,2025-04-18,2025-04-24
11,179,40.522346368715084,29.073561352963324,2025-04-25,2025-05-01
12,173,30.751445086705203,25.676465577012152,2025-05-02,2025-05-08
13,186,27.881720430107528,22.44896889818524,2025-05-09,2025-05-15
14,168,32.01488095238095,26.40849219220935,2025-05-16,2025-05-22
15,181,28.99171270718232,24.027789185887425,2025-05-23,2025-05-29
16,184,29.831521739130434,22.418495629848486,2025-05-30,2025-06-05
17,164,33.28658536585366,25.500575055203008,2025-06-06,2025-06-12
18,129,28.48062015503876,24.27836639093337,2025-06-13,2025-06-19
19,94,29.97872340425532,26.782669217159636,2025-06-20,2025-06-26
20,74,30.06756756756757,25.498499059281784,2025-06-27,2025-07-03
21,8,13.625,12.916628264151822,2025-07-04,2025-07-09
